user_id,product_id,event,weight,timestamp
U001,P021,view,1,2026-01-01 00:10:00
U001,P040,view,1,2026-01-01 01:04:00
U001,P042,cart,3,2026-01-01 02:29:00
U001,P034,purchase,5,2026-01-01 03:55:00
U001,P033,view,1,2026-01-01 04:07:00
U001,P015,cart,3,2026-01-01 05:17:00
U001,P002,view,1,2026-01-01 06:18:00
U001,P013,view,1,2026-01-01 07:46:00
U001,P050,view,1,2026-01-01 08:32:00
U001,P036,cart,3,2026-01-01 09:06:00
U001,P053,view,1,2026-01-01 10:40:00
U001,P005,view,1,2026-01-01 11:23:00
U002,P050,view,1,2026-01-02 00:31:00
U002,P020,purchase,5,2026-01-02 01:56:00
U002,P012,cart,3,2026-01-02 02:15:00
U002,P026,purchase,5,2026-01-02 03:05:00
U002,P017,cart,3,2026-01-02 04:04:00
U002,P036,view,1,2026-01-02 05:08:00
U002,P018,view,1,2026-01-02 06:35:00
U002,P023,cart,3,2026-01-02 07:38:00
U002,P047,view,1,2026-01-02 08:34:00
U002,P044,cart,3,2026-01-02 09:45:00
U002,P025,purchase,5,2026-01-02 10:41:00
U002,P021,purchase,5,2026-01-02 11:28:00
U002,P022,view,1,2026-01-02 12:21:00
U002,P045,cart,3,2026-01-02 13:37:00
U002,P046,view,1,2026-01-02 14:40:00
U002,P042,view,1,2026-01-02 15:02:00
U002,P005,view,1,2026-01-02 16:15:00
U002,P024,cart,3,2026-01-02 17:34:00
U002,P043,purchase,5,2026-01-02 18:36:00
U002,P041,view,1,2026-01-02 19:30:00
U003,P017,view,1,2026-01-03 00:27:00
U003,P024,purchase,5,2026-01-03 01:03:00
U003,P022,purchase,5,2026-01-03 02:06:00
U003,P038,cart,3,2026-01-03 03:51:00
U003,P015,view,1,2026-01-03 04:12:00
U003,P021,view,1,2026-01-03 05:11:00
U003,P036,view,1,2026-01-03 06:59:00
U003,P020,purchase,5,2026-01-03 07:54:00
U003,P019,view,1,2026-01-03 08:34:00
U003,P049,purchase,5,2026-01-03 09:59:00
U003,P026,view,1,2026-01-03 10:26:00
